2026-06-03 19:41:27 | INFO | root | Logging to /mntdatalora/src/ECG-Denoising-LMMSE/logs/arch_deep_P64_20260603_194127.log
2026-06-03 19:41:27 | INFO | root | Runtime context:
{
  "config_path": "/mntdatalora/src/ECG-Denoising-LMMSE/configs/transformer.yaml",
  "hostname": "pod-4",
  "output_dir": "/mntdatalora/src/ECG-Denoising-LMMSE/outputs/transformer/arch_deep_P64",
  "platform": "Linux-6.8.0-124-generic-x86_64-with-glibc2.39",
  "python": "3.12.3 (main, Mar  3 2026, 12:15:18) [GCC 13.3.0]"
}
2026-06-03 19:43:01 | INFO | root | epoch=70 step=25 train_loss=0.00473541
2026-06-03 19:43:01 | INFO | root | epoch=70 step=50 train_loss=0.00488135
2026-06-03 19:43:02 | INFO | root | epoch=70 train_loss=0.00496556 val_loss=0.05211657
2026-06-03 19:43:02 | INFO | root | epoch=71 step=25 train_loss=0.00485115
2026-06-03 19:43:03 | INFO | root | epoch=71 step=50 train_loss=0.00486629
2026-06-03 19:43:03 | INFO | root | epoch=71 train_loss=0.00476222 val_loss=0.05575320
2026-06-03 19:43:04 | INFO | root | epoch=72 step=25 train_loss=0.00418647
2026-06-03 19:43:04 | INFO | root | epoch=72 step=50 train_loss=0.00450760
2026-06-03 19:43:04 | INFO | root | epoch=72 train_loss=0.00451175 val_loss=0.05944878
2026-06-03 19:43:05 | INFO | root | epoch=73 step=25 train_loss=0.00410285
2026-06-03 19:43:05 | INFO | root | epoch=73 step=50 train_loss=0.00416538
2026-06-03 19:43:06 | INFO | root | epoch=73 train_loss=0.00420783 val_loss=0.05809027
2026-06-03 19:43:06 | INFO | root | epoch=74 step=25 train_loss=0.00404831
2026-06-03 19:43:07 | INFO | root | epoch=74 step=50 train_loss=0.00404636
2026-06-03 19:43:07 | INFO | root | epoch=74 train_loss=0.00408131 val_loss=0.05399650
2026-06-03 19:43:08 | INFO | root | epoch=75 step=25 train_loss=0.00483928
2026-06-03 19:43:08 | INFO | root | epoch=75 step=50 train_loss=0.00451406
2026-06-03 19:43:08 | INFO | root | epoch=75 train_loss=0.00447375 val_loss=0.05674906
2026-06-03 19:43:09 | INFO | root | epoch=76 step=25 train_loss=0.00458775
2026-06-03 19:43:09 | INFO | root | epoch=76 step=50 train_loss=0.00446568
2026-06-03 19:43:10 | INFO | root | epoch=76 train_loss=0.00434814 val_loss=0.05607574
2026-06-03 19:43:10 | INFO | root | epoch=77 step=25 train_loss=0.00437026
2026-06-03 19:43:11 | INFO | root | epoch=77 step=50 train_loss=0.00429967
2026-06-03 19:43:11 | INFO | root | epoch=77 train_loss=0.00425288 val_loss=0.05525561
2026-06-03 19:43:11 | INFO | root | epoch=78 step=25 train_loss=0.00400219
2026-06-03 19:43:12 | INFO | root | epoch=78 step=50 train_loss=0.00386314
2026-06-03 19:43:12 | INFO | root | epoch=78 train_loss=0.00386107 val_loss=0.05758079
